_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo
543	76	今、死ぬ夢を見ましたか	イマ シヌ ユメ オ ミマシタカ			9784800293466	辻堂ゆめ	ツジドウ,ユメ	宝島社	文庫	宝島社文庫　このミス大賞	タカラジマシャ ブンコ コノ ミス タイショウ	2019年03月06日	842	https://books.rakuten.co.jp/rb/15819255/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15819255%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15819255%26surl%3Dbook				2019/06/04 20:17:13	
544	2	この美術部には問題がある！11	コノビジュツブニハモンダイガアル！11			9784049125481	いみぎむる	イミギムル	KADOKAWA	コミック	電撃コミックスNEXT	デンゲキコミックスネクスト	2019年05月25日	702	https://books.rakuten.co.jp/rb/15878431/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15878431%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15878431%26surl%3Dbook				2019/06/17 14:42:24	
545	16	いまさら翼といわれても	イマサラツバサトイワレテモ			9784041081648	米澤　穂信	ヨネザワ　ホノブ	KADOKAWA	文庫	角川文庫	カドカワブンコ	2019年06月14日	734	https://books.rakuten.co.jp/rb/15903714/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15903714%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15903714%26surl%3Dbook				2019/07/22 23:49:07	
546	156	小説　天気の子	ショウセツ　テンキノコ			9784041026403	新海　誠	シンカイ　マコト	KADOKAWA	文庫	角川文庫	カドカワブンコ	2019年07月18日	648	https://books.rakuten.co.jp/rb/15887387/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15887387%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15887387%26surl%3Dbook				2019/07/22 23:50:55	
547	156	小説君の名は。	ショウセツ　キミノナハ。			9784041026229	新海　誠	シンカイ　マコト	KADOKAWA	文庫	角川文庫	カドカワブンコ	2016年06月18日	604	https://books.rakuten.co.jp/rb/14262054/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14262054%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14262054%26surl%3Dbook			古本	2019/07/22 23:51:33	
548	156	小説秒速5センチメートル	ショウセツ　ビョウソクゴセンチメートル			9784041026168	新海　誠	シンカイ　マコト	KADOKAWA	文庫	角川文庫	カドカワブンコ	2016年02月25日	561	https://books.rakuten.co.jp/rb/13783068/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13783068%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13783068%26surl%3Dbook			古本	2019/07/22 23:51:27	
549	148	虚構推理　スリーピング・マーダー	キョコウスイリ スリーピングマーダー			9784065161579	城平 京/片瀬 茶柴	シロダイラ キョウ/カタセ チャシバ	講談社	文庫	講談社タイガ	コウダンシャタイガ	2019年06月21日	777	https://books.rakuten.co.jp/rb/15920491/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15920491%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15920491%26surl%3Dbook				2019/07/22 23:52:08	
550	53	冴えない彼女の育てかた　12	サエナイヒロインノソダテカタ　12			9784040720777	丸戸　史明/深崎　暮人	マルト　フミアキ/ミサキ　クレヒト	KADOKAWA	文庫	ファンタジア文庫	ファンタジアブンコ	2017年03月18日	648	https://books.rakuten.co.jp/rb/14669301/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14669301%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14669301%26surl%3Dbook				2019/07/22 23:52:29	
551	53	冴えない彼女の育てかた　11	サエナイヒロインノソダテカタ　11			9784040720760	丸戸　史明/深崎　暮人	マルト　フミアキ/ミサキ　クレヒト	KADOKAWA	文庫	ファンタジア文庫	ファンタジアブンコ	2016年11月19日	648	https://books.rakuten.co.jp/rb/14507180/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14507180%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14507180%26surl%3Dbook				2019/07/22 23:52:58	
552	141	阿波連さんははかれない 6	アハレンサンハハカレナイ			9784088818054	水 あさと	ミズ アサト	集英社	コミック	ジャンプコミックス		2019年04月04日	648	https://books.rakuten.co.jp/rb/15823486/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15823486%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D15823486%26surl%3Dbook				2019/08/04 23:41:17	
